category,section,range,code,description,keywords
Category III,Temporary Codes,0000T–9999T,0003T,Cervicography,cervicography
Category III,Temporary Codes,0000T–9999T,0008T,Upper gi endoscopy w/suture,upper gi endoscopy w/suture
Category III,Temporary Codes,0000T–9999T,0010T,"""Tb test, gamma interferon""","""tb test, gamma interferon"""
Category III,Temporary Codes,0000T–9999T,0016T,Thermotx choroid vasc lesion,thermotx choroid vasc lesion
Category III,Temporary Codes,0000T–9999T,0017T,Photocoagulat macular drusen,photocoagulat macular drusen
Category III,Temporary Codes,0000T–9999T,0018T,Transcranial magnetic stimul,transcranial magnetic stimul
Category III,Temporary Codes,0000T–9999T,0019T,"""Extracorp shock wave tx, ms""","""extracorp shock wave tx, ms"""
Category III,Temporary Codes,0000T–9999T,0020T,"""Extracorp shock wave tx, ft""","""extracorp shock wave tx, ft"""
Category III,Temporary Codes,0000T–9999T,0021T,"""Fetal oximetry, trnsvag/cerv""","""fetal oximetry, trnsvag/cerv"""
Category III,Temporary Codes,0000T–9999T,0023T,"""Phenotype drug test, hiv 1""","""phenotype drug test, hiv 1"""
Category III,Temporary Codes,0000T–9999T,0024T,Transcath cardiac reduction,transcath cardiac reduction
Category III,Temporary Codes,0000T–9999T,0026T,Measure remnant lipoproteins,measure remnant lipoproteins
Category III,Temporary Codes,0000T–9999T,0027T,Endoscopic epidural lysis,endoscopic epidural lysis
Category III,Temporary Codes,0000T–9999T,0028T,Dexa body composition study,dexa body composition study
Category III,Temporary Codes,0000T–9999T,0029T,Magnetic tx for incontinence,magnetic tx for incontinence
Category III,Temporary Codes,0000T–9999T,0030T,Antiprothrombin antibody,antiprothrombin antibody
Category III,Temporary Codes,0000T–9999T,0031T,Speculoscopy,speculoscopy
Category III,Temporary Codes,0000T–9999T,0032T,Speculoscopy w/direct sample,speculoscopy w/direct sample
Category III,Temporary Codes,0000T–9999T,0033T,Endovasc taa repr incl subcl,endovasc taa repr incl subcl
Category III,Temporary Codes,0000T–9999T,0034T,Endovasc taa repr w/o subcl,endovasc taa repr w/o subcl
Category III,Temporary Codes,0000T–9999T,0035T,"""Insert endovasc prosth, taa""","""insert endovasc prosth, taa"""
Category III,Temporary Codes,0000T–9999T,0036T,"""Endovasc prosth, taa, add-on""","""endovasc prosth, taa, add-on"""
Category III,Temporary Codes,0000T–9999T,0037T,Artery transpose/endovas taa,artery transpose/endovas taa
Category III,Temporary Codes,0000T–9999T,0038T,Rad endovasc taa rpr w/cover,rad endovasc taa rpr w/cover
Category III,Temporary Codes,0000T–9999T,0039T,"""Rad s/i, endovasc taa repair""","""rad s/i, endovasc taa repair"""
Category III,Temporary Codes,0000T–9999T,0040T,"""Rad s/i, endovasc taa prosth""","""rad s/i, endovasc taa prosth"""
Category III,Temporary Codes,0000T–9999T,0041T,Detect ur infect agnt w/cpas,detect ur infect agnt w/cpas
Category III,Temporary Codes,0000T–9999T,0042T,"""Ct perfusion w/contrast, cbf""","""ct perfusion w/contrast, cbf"""
Category III,Temporary Codes,0000T–9999T,0043T,Co expired gas analysis,co expired gas analysis
Category III,Temporary Codes,0000T–9999T,0044T,Whole body photography,whole body photography
Category III,Temporary Codes,0000T–9999T,0045T,Whole body photography,whole body photography
Category III,Temporary Codes,0000T–9999T,0046T,"""Cath lavage, mammary duct(s""","""cath lavage, mammary duct(s"""
Category III,Temporary Codes,0000T–9999T,0047T,"""Cath lavage, mammary duct(s)""","""cath lavage, mammary duct(s)"""
Category III,Temporary Codes,0000T–9999T,0048T,Implant ventricular device,implant ventricular device
Category III,Temporary Codes,0000T–9999T,0049T,External circulation assist,external circulation assist
Category III,Temporary Codes,0000T–9999T,0050T,Removal circulation assist,removal circulation assist
Category III,Temporary Codes,0000T–9999T,0051T,Implant total heart system,implant total heart system
Category III,Temporary Codes,0000T–9999T,0052T,Replace component heart syst,replace component heart syst
Category III,Temporary Codes,0000T–9999T,0053T,Replace component heart syst,replace component heart syst
Category III,Temporary Codes,0000T–9999T,0054T,Bone surgery using computer,bone surgery using computer
Category III,Temporary Codes,0000T–9999T,0055T,Bone surgery using computer,bone surgery using computer
Category III,Temporary Codes,0000T–9999T,0056T,Bone surgery using computer,bone surgery using computer
Category III,Temporary Codes,0000T–9999T,0058T,"""Cryopreservation, ovary tiss""","""cryopreservation, ovary tiss"""
Category III,Temporary Codes,0000T–9999T,0059T,"""Cryopreservation, oocyte""","""cryopreservation, oocyte"""
Category III,Temporary Codes,0000T–9999T,0060T,Electrical impedance scan,electrical impedance scan
Category III,Temporary Codes,0000T–9999T,0061T,"""Destruction of tumor, breast""","""destruction of tumor, breast"""
Category III,Temporary Codes,0000T–9999T,0062T,Rep intradisc annulus;1 lev,rep intradisc annulus;1 lev
Category III,Temporary Codes,0000T–9999T,0063T,Rep intradisc annulus;>1lev,rep intradisc annulus;>1lev
Category III,Temporary Codes,0000T–9999T,0064T,Spectroscop eval expired gas,spectroscop eval expired gas
Category III,Temporary Codes,0000T–9999T,0065T,Ocular photoscreen bilat,ocular photoscreen bilat
Category III,Temporary Codes,0000T–9999T,0066T,Ct colonography;screen,ct colonography;screen
Category III,Temporary Codes,0000T–9999T,0067T,Ct colonography;dx,ct colonography;dx
Category III,Temporary Codes,0000T–9999T,0068T,Interp/rept heart sound,interp/rept heart sound
Category III,Temporary Codes,0000T–9999T,0069T,Analysis only heart sound,analysis only heart sound
Category III,Temporary Codes,0000T–9999T,0070T,Interp only heart sound,interp only heart sound
Category III,Temporary Codes,0000T–9999T,0071T,U/s leiomyomata ablate <200,u/s leiomyomata ablate <200
Category III,Temporary Codes,0000T–9999T,0072T,U/s leiomyomata ablate >200,u/s leiomyomata ablate >200
Category III,Temporary Codes,0000T–9999T,0073T,"""Delivery, comp imrt""","""delivery, comp imrt"""
Category III,Temporary Codes,0000T–9999T,0074T,Online physician e/m,online physician e/m
Category III,Temporary Codes,0000T–9999T,0075T,Perq stent/chest vert art,perq stent/chest vert art
Category III,Temporary Codes,0000T–9999T,0076T,S&i stent/chest vert art,s&i stent/chest vert art
Category III,Temporary Codes,0000T–9999T,0077T,Cereb therm perfusion probe,cereb therm perfusion probe
Category III,Temporary Codes,0000T–9999T,0078T,Endovasc aort repr w/device,endovasc aort repr w/device
Category III,Temporary Codes,0000T–9999T,0079T,Endovasc visc extnsn repr,endovasc visc extnsn repr
Category III,Temporary Codes,0000T–9999T,0080T,Endovasc aort repr rad s&i,endovasc aort repr rad s&i
Category III,Temporary Codes,0000T–9999T,0081T,Endovasc visc extnsn s&i,endovasc visc extnsn s&i
Category III,Temporary Codes,0000T–9999T,0082T,Stereotactic rad delivery,stereotactic rad delivery
Category III,Temporary Codes,0000T–9999T,0083T,Stereotactic rad tx mngmt,stereotactic rad tx mngmt
Category III,Temporary Codes,0000T–9999T,0084T,Temp prostate urethral stent,temp prostate urethral stent
Category III,Temporary Codes,0000T–9999T,0085T,Breath test heart reject,breath test heart reject
Category III,Temporary Codes,0000T–9999T,0086T,L ventricle fill pressure,l ventricle fill pressure
Category III,Temporary Codes,0000T–9999T,0087T,Sperm eval hyaluronan,sperm eval hyaluronan
Category III,Temporary Codes,0000T–9999T,0088T,Rf tongue base vol reduxn,rf tongue base vol reduxn
Category II,Performance Measures,0000F–9999F,0500F,Initial prenatal care visit,initial prenatal care visit
Category II,Performance Measures,0000F–9999F,0501F,Prenatal flow sheet,prenatal flow sheet
Category II,Performance Measures,0000F–9999F,0502F,Subsequent prenatal care,subsequent prenatal care
Category II,Performance Measures,0000F–9999F,0503F,Postpartum care visit,postpartum care visit
Category II,Performance Measures,0000F–9999F,1000F,"""Tobacco use, smoking, assess""","""tobacco use, smoking, assess"""
Category II,Performance Measures,0000F–9999F,1001F,"""Tobacco use, non-smoking""","""tobacco use, non-smoking"""
Category I,Surgery – Integumentary,10000–19999,10021,Fna w/o image,fna w/o image
Category I,Surgery – Integumentary,10000–19999,10022,Fna w/image,fna w/image
Category II,Performance Measures,0000F–9999F,1002F,Assess anginal symptom/level,assess anginal symptom/level
Category I,Surgery – Integumentary,10000–19999,10040,Acne surgery,acne surgery
Category I,Surgery – Integumentary,10000–19999,10060,Drainage of skin abscess,drainage of skin abscess
Category I,Surgery – Integumentary,10000–19999,10061,Drainage of skin abscess,drainage of skin abscess
Category I,Surgery – Integumentary,10000–19999,10080,Drainage of pilonidal cyst,drainage of pilonidal cyst
Category I,Surgery – Integumentary,10000–19999,10081,Drainage of pilonidal cyst,drainage of pilonidal cyst
Category I,Surgery – Integumentary,10000–19999,10120,Remove foreign body,remove foreign body
Category I,Surgery – Integumentary,10000–19999,10121,Remove foreign body,remove foreign body
Category I,Surgery – Integumentary,10000–19999,10140,Drainage of hematoma/fluid,drainage of hematoma/fluid
Category I,Surgery – Integumentary,10000–19999,10160,Puncture drainage of lesion,puncture drainage of lesion
Category I,Surgery – Integumentary,10000–19999,10180,"""Complex drainage, wound""","""complex drainage, wound"""
Category I,Surgery – Integumentary,10000–19999,11000,Debride infected skin,debride infected skin
Category I,Surgery – Integumentary,10000–19999,11001,Debride infected skin add-on,debride infected skin add-on
Category I,Surgery – Integumentary,10000–19999,11004,Debride genitalia & perineum,debride genitalia & perineum
Category I,Surgery – Integumentary,10000–19999,11005,Debride abdom wall,debride abdom wall
Category I,Surgery – Integumentary,10000–19999,11006,Debride genit/per/abdom wall,debride genit/per/abdom wall
Category I,Surgery – Integumentary,10000–19999,11008,Remove mesh from abd wall,remove mesh from abd wall
Category I,Surgery – Integumentary,10000–19999,11010,"""Debride skin, fx""","""debride skin, fx"""
Category I,Surgery – Integumentary,10000–19999,11011,"""Debride skin/muscle, fx""","""debride skin/muscle, fx"""
Category I,Surgery – Integumentary,10000–19999,11012,"""Debride skin/muscle/bone, fx""","""debride skin/muscle/bone, fx"""
Category I,Surgery – Integumentary,10000–19999,11040,"""Debride skin, partial""","""debride skin, partial"""
Category I,Surgery – Integumentary,10000–19999,11041,"""Debride skin, full""","""debride skin, full"""
Category I,Surgery – Integumentary,10000–19999,11042,Debride skin/tissue,debride skin/tissue
Category I,Surgery – Integumentary,10000–19999,11043,Debride tissue/muscle,debride tissue/muscle
Category I,Surgery – Integumentary,10000–19999,11044,Debride tissue/muscle/bone,debride tissue/muscle/bone
Category I,Surgery – Integumentary,10000–19999,11055,Trim skin lesion,trim skin lesion
Category I,Surgery – Integumentary,10000–19999,11056,"""Trim skin lesions, 2 to 4""","""trim skin lesions, 2 to 4"""
Category I,Surgery – Integumentary,10000–19999,11057,"""Trim skin lesions, over 4""","""trim skin lesions, over 4"""
Category I,Surgery – Integumentary,10000–19999,11100,"""Biopsy, skin lesion""","""biopsy, skin lesion"""
Category I,Surgery – Integumentary,10000–19999,11101,"""Biopsy, skin add-on""","""biopsy, skin add-on"""
Category I,Surgery – Integumentary,10000–19999,11200,Removal of skin tags,removal of skin tags
Category I,Surgery – Integumentary,10000–19999,11201,Remove skin tags add-on,remove skin tags add-on
Category I,Surgery – Integumentary,10000–19999,11300,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11301,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11302,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11303,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11305,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11306,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11307,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11308,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11310,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11311,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11312,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11313,Shave skin lesion,shave skin lesion
Category I,Surgery – Integumentary,10000–19999,11400,Exc tr-ext b9+marg 0.5 < cm,exc tr-ext b9+marg 0.5 < cm
Category I,Surgery – Integumentary,10000–19999,11401,Exc tr-ext b9+marg 0.6-1 cm,exc tr-ext b9+marg 0.6-1 cm
Category I,Surgery – Integumentary,10000–19999,11402,Exc tr-ext b9+marg 1.1-2 cm,exc tr-ext b9+marg 1.1-2 cm
Category I,Surgery – Integumentary,10000–19999,11403,Exc tr-ext b9+marg 2.1-3 cm,exc tr-ext b9+marg 2.1-3 cm
Category I,Surgery – Integumentary,10000–19999,11404,Exc tr-ext b9+marg 3.1-4 cm,exc tr-ext b9+marg 3.1-4 cm
Category I,Surgery – Integumentary,10000–19999,11406,Exc tr-ext b9+marg > 4.0 cm,exc tr-ext b9+marg > 4.0 cm
Category I,Surgery – Integumentary,10000–19999,11420,Exc h-f-nk-sp b9+marg 0.5 <,exc h-f-nk-sp b9+marg 0.5 <
Category I,Surgery – Integumentary,10000–19999,11421,Exc h-f-nk-sp b9+marg 0.6-1,exc h-f-nk-sp b9+marg 0.6-1
Category I,Surgery – Integumentary,10000–19999,11422,Exc h-f-nk-sp b9+marg 1.1-2,exc h-f-nk-sp b9+marg 1.1-2
Category I,Surgery – Integumentary,10000–19999,11423,Exc h-f-nk-sp b9+marg 2.1-3,exc h-f-nk-sp b9+marg 2.1-3
Category I,Surgery – Integumentary,10000–19999,11424,Exc h-f-nk-sp b9+marg 3.1-4,exc h-f-nk-sp b9+marg 3.1-4
Category I,Surgery – Integumentary,10000–19999,11426,Exc h-f-nk-sp b9+marg > 4 cm,exc h-f-nk-sp b9+marg > 4 cm
Category I,Surgery – Integumentary,10000–19999,11440,Exc face-mm b9+marg 0.5 < cm,exc face-mm b9+marg 0.5 < cm
Category I,Surgery – Integumentary,10000–19999,11441,Exc face-mm b9+marg 0.6-1 cm,exc face-mm b9+marg 0.6-1 cm
Category I,Surgery – Integumentary,10000–19999,11442,Exc face-mm b9+marg 1.1-2 cm,exc face-mm b9+marg 1.1-2 cm
Category I,Surgery – Integumentary,10000–19999,11443,Exc face-mm b9+marg 2.1-3 cm,exc face-mm b9+marg 2.1-3 cm
Category I,Surgery – Integumentary,10000–19999,11444,Exc face-mm b9+marg 3.1-4 cm,exc face-mm b9+marg 3.1-4 cm
Category I,Surgery – Integumentary,10000–19999,11446,Exc face-mm b9+marg > 4 cm,exc face-mm b9+marg > 4 cm
Category I,Surgery – Integumentary,10000–19999,11450,"""Removal, sweat gland lesion""","""removal, sweat gland lesion"""
Category I,Surgery – Integumentary,10000–19999,11451,"""Removal, sweat gland lesion""","""removal, sweat gland lesion"""
Category I,Surgery – Integumentary,10000–19999,11462,"""Removal, sweat gland lesion""","""removal, sweat gland lesion"""
Category I,Surgery – Integumentary,10000–19999,11463,"""Removal, sweat gland lesion""","""removal, sweat gland lesion"""
Category I,Surgery – Integumentary,10000–19999,11470,"""Removal, sweat gland lesion""","""removal, sweat gland lesion"""
Category I,Surgery – Integumentary,10000–19999,11471,"""Removal, sweat gland lesion""","""removal, sweat gland lesion"""
Category I,Surgery – Integumentary,10000–19999,11600,Exc tr-ext mlg+marg 0.5 < cm,exc tr-ext mlg+marg 0.5 < cm
Category I,Surgery – Integumentary,10000–19999,11601,Exc tr-ext mlg+marg 0.6-1 cm,exc tr-ext mlg+marg 0.6-1 cm
Category I,Surgery – Integumentary,10000–19999,11602,Exc tr-ext mlg+marg 1.1-2 cm,exc tr-ext mlg+marg 1.1-2 cm
Category I,Surgery – Integumentary,10000–19999,11603,Exc tr-ext mlg+marg 2.1-3 cm,exc tr-ext mlg+marg 2.1-3 cm
Category I,Surgery – Integumentary,10000–19999,11604,Exc tr-ext mlg+marg 3.1-4 cm,exc tr-ext mlg+marg 3.1-4 cm
Category I,Surgery – Integumentary,10000–19999,11606,Exc tr-ext mlg+marg > 4 cm,exc tr-ext mlg+marg > 4 cm
Category I,Surgery – Integumentary,10000–19999,11620,Exc h-f-nk-sp mlg+marg 0.5 <,exc h-f-nk-sp mlg+marg 0.5 <
Category I,Surgery – Integumentary,10000–19999,11621,Exc h-f-nk-sp mlg+marg 0.6-1,exc h-f-nk-sp mlg+marg 0.6-1
Category I,Surgery – Integumentary,10000–19999,11622,Exc h-f-nk-sp mlg+marg 1.1-2,exc h-f-nk-sp mlg+marg 1.1-2
Category I,Surgery – Integumentary,10000–19999,11623,Exc h-f-nk-sp mlg+marg 2.1-3,exc h-f-nk-sp mlg+marg 2.1-3
Category I,Surgery – Integumentary,10000–19999,11624,Exc h-f-nk-sp mlg+marg 3.1-4,exc h-f-nk-sp mlg+marg 3.1-4
Category I,Surgery – Integumentary,10000–19999,11626,Exc h-f-nk-sp mlg+mar > 4 cm,exc h-f-nk-sp mlg+mar > 4 cm
Category I,Surgery – Integumentary,10000–19999,11640,Exc face-mm malig+marg 0.5 <,exc face-mm malig+marg 0.5 <
Category I,Surgery – Integumentary,10000–19999,11641,Exc face-mm malig+marg 0.6-1,exc face-mm malig+marg 0.6-1
Category I,Surgery – Integumentary,10000–19999,11642,Exc face-mm malig+marg 1.1-2,exc face-mm malig+marg 1.1-2
Category I,Surgery – Integumentary,10000–19999,11643,Exc face-mm malig+marg 2.1-3,exc face-mm malig+marg 2.1-3
Category I,Surgery – Integumentary,10000–19999,11644,Exc face-mm malig+marg 3.1-4,exc face-mm malig+marg 3.1-4
Category I,Surgery – Integumentary,10000–19999,11646,Exc face-mm mlg+marg > 4 cm,exc face-mm mlg+marg > 4 cm
Category I,Surgery – Integumentary,10000–19999,11719,Trim nail(s),trim nail(s)
Category I,Surgery – Integumentary,10000–19999,11720,"""Debride nail, 1-5""","""debride nail, 1-5"""
Category I,Surgery – Integumentary,10000–19999,11721,"""Debride nail, 6 or more""","""debride nail, 6 or more"""
Category I,Surgery – Integumentary,10000–19999,11730,Removal of nail plate,removal of nail plate
Category I,Surgery – Integumentary,10000–19999,11732,"""Remove nail plate, add-on""","""remove nail plate, add-on"""
Category I,Surgery – Integumentary,10000–19999,11740,Drain blood from under nail,drain blood from under nail
Category I,Surgery – Integumentary,10000–19999,11750,Removal of nail bed,removal of nail bed
Category I,Surgery – Integumentary,10000–19999,11752,Remove nail bed/finger tip,remove nail bed/finger tip
Category I,Surgery – Integumentary,10000–19999,11755,"""Biopsy, nail unit""","""biopsy, nail unit"""
Category I,Surgery – Integumentary,10000–19999,11760,Repair of nail bed,repair of nail bed
Category I,Surgery – Integumentary,10000–19999,11762,Reconstruction of nail bed,reconstruction of nail bed
Category I,Surgery – Integumentary,10000–19999,11765,"""Excision of nail fold, toe""","""excision of nail fold, toe"""
Category I,Surgery – Integumentary,10000–19999,11770,Removal of pilonidal lesion,removal of pilonidal lesion
Category I,Surgery – Integumentary,10000–19999,11771,Removal of pilonidal lesion,removal of pilonidal lesion
Category I,Surgery – Integumentary,10000–19999,11772,Removal of pilonidal lesion,removal of pilonidal lesion
Category I,Surgery – Integumentary,10000–19999,11900,Injection into skin lesions,injection into skin lesions
Category I,Surgery – Integumentary,10000–19999,11901,Added skin lesions injection,added skin lesions injection
Category I,Surgery – Integumentary,10000–19999,11920,Correct skin color defects,correct skin color defects
Category I,Surgery – Integumentary,10000–19999,11921,Correct skin color defects,correct skin color defects
Category I,Surgery – Integumentary,10000–19999,11922,Correct skin color defects,correct skin color defects
Category I,Surgery – Integumentary,10000–19999,11950,Therapy for contour defects,therapy for contour defects
Category I,Surgery – Integumentary,10000–19999,11951,Therapy for contour defects,therapy for contour defects
Category I,Surgery – Integumentary,10000–19999,11952,Therapy for contour defects,therapy for contour defects
Category I,Surgery – Integumentary,10000–19999,11954,Therapy for contour defects,therapy for contour defects
Category I,Surgery – Integumentary,10000–19999,11960,Insert tissue expander(s),insert tissue expander(s)
Category I,Surgery – Integumentary,10000–19999,11970,Replace tissue expander,replace tissue expander
Category I,Surgery – Integumentary,10000–19999,11971,Remove tissue expander(s),remove tissue expander(s)
Category I,Surgery – Integumentary,10000–19999,11975,Insert contraceptive cap,insert contraceptive cap
Category I,Surgery – Integumentary,10000–19999,11976,Removal of contraceptive cap,removal of contraceptive cap
Category I,Surgery – Integumentary,10000–19999,11977,Removal/reinsert contra cap,removal/reinsert contra cap
Category I,Surgery – Integumentary,10000–19999,11980,Implant hormone pellet(s),implant hormone pellet(s)
Category I,Surgery – Integumentary,10000–19999,11981,Insert drug implant device,insert drug implant device
Category I,Surgery – Integumentary,10000–19999,11982,Remove drug implant device,remove drug implant device
Category I,Surgery – Integumentary,10000–19999,11983,Remove/insert drug implant,remove/insert drug implant
Category I,Surgery – Integumentary,10000–19999,12001,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12002,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12004,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12005,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12006,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12007,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12011,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12013,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12014,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12015,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12016,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12017,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12018,Repair superficial wound(s),repair superficial wound(s)
Category I,Surgery – Integumentary,10000–19999,12020,Closure of split wound,closure of split wound
Category I,Surgery – Integumentary,10000–19999,12021,Closure of split wound,closure of split wound
Category I,Surgery – Integumentary,10000–19999,12031,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12032,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12034,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12035,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12036,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12037,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12041,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12042,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12044,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12045,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12046,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12047,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12051,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12052,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12053,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12054,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12055,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12056,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,12057,Layer closure of wound(s),layer closure of wound(s)
Category I,Surgery – Integumentary,10000–19999,13100,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13101,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13102,Repair wound/lesion add-on,repair wound/lesion add-on
Category I,Surgery – Integumentary,10000–19999,13120,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13121,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13122,Repair wound/lesion add-on,repair wound/lesion add-on
Category I,Surgery – Integumentary,10000–19999,13131,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13132,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13133,Repair wound/lesion add-on,repair wound/lesion add-on
Category I,Surgery – Integumentary,10000–19999,13150,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13151,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13152,Repair of wound or lesion,repair of wound or lesion
Category I,Surgery – Integumentary,10000–19999,13153,Repair wound/lesion add-on,repair wound/lesion add-on
Category I,Surgery – Integumentary,10000–19999,13160,Late closure of wound,late closure of wound
Category I,Surgery – Integumentary,10000–19999,14000,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14001,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14020,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14021,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14040,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14041,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14060,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14061,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14300,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,14350,Skin tissue rearrangement,skin tissue rearrangement
Category I,Surgery – Integumentary,10000–19999,15000,Skin graft,skin graft
Category I,Surgery – Integumentary,10000–19999,15001,Skin graft add-on,skin graft add-on
Category I,Surgery – Integumentary,10000–19999,15050,Skin pinch graft,skin pinch graft
Category I,Surgery – Integumentary,10000–19999,15100,Skin split graft,skin split graft
Category I,Surgery – Integumentary,10000–19999,15101,Skin split graft add-on,skin split graft add-on
Category I,Surgery – Integumentary,10000–19999,15120,Skin split graft,skin split graft
Category I,Surgery – Integumentary,10000–19999,15121,Skin split graft add-on,skin split graft add-on
Category I,Surgery – Integumentary,10000–19999,15200,Skin full graft,skin full graft
Category I,Surgery – Integumentary,10000–19999,15201,Skin full graft add-on,skin full graft add-on
Category I,Surgery – Integumentary,10000–19999,15220,Skin full graft,skin full graft
Category I,Surgery – Integumentary,10000–19999,15221,Skin full graft add-on,skin full graft add-on
Category I,Surgery – Integumentary,10000–19999,15240,Skin full graft,skin full graft
Category I,Surgery – Integumentary,10000–19999,15241,Skin full graft add-on,skin full graft add-on
Category I,Surgery – Integumentary,10000–19999,15260,Skin full graft,skin full graft
Category I,Surgery – Integumentary,10000–19999,15261,Skin full graft add-on,skin full graft add-on
Category I,Surgery – Integumentary,10000–19999,15342,"""Cultured skin graft, 25 cm""","""cultured skin graft, 25 cm"""
Category I,Surgery – Integumentary,10000–19999,15343,Culture skn graft addl 25 cm,culture skn graft addl 25 cm
Category I,Surgery – Integumentary,10000–19999,15350,Skin homograft,skin homograft
Category I,Surgery – Integumentary,10000–19999,15351,Skin homograft add-on,skin homograft add-on
Category I,Surgery – Integumentary,10000–19999,15400,Skin heterograft,skin heterograft
Category I,Surgery – Integumentary,10000–19999,15401,Skin heterograft add-on,skin heterograft add-on
Category I,Surgery – Integumentary,10000–19999,15570,Form skin pedicle flap,form skin pedicle flap
Category I,Surgery – Integumentary,10000–19999,15572,Form skin pedicle flap,form skin pedicle flap
Category I,Surgery – Integumentary,10000–19999,15574,Form skin pedicle flap,form skin pedicle flap
